Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,TPD6S300A,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,110.8,-147.6,90,top
U2,TPS62933,SOT-583-8,104.5,-98.1,0,top
U3,TPS259472A,VQFN-10_L2.0-W2.0-P0.45-TL,66.16,-119.75,180,top
U4,LM5050-1,TSOT-23-6,82.3,-114.4,0,top
U5,SiC451,POWERPAK_MLP34-57_VIS,69.07,-151.05,0,top
U6,STM32G071CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,105.7875,-141.3,0,top
U7,ESP32-C6-WROOM-1,ESP32-C6-WROOM-1,183.3,-130.7035,-90,top
U8,TLV74311,SOT-23-5,159.195833,-132.883333,-90,top
U9,RP2354B,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,141.533333,-128.983333,180,top
U10,74VHC161,TSSOP-16_4.4x5mm_P0.65mm,155.883333,-122.333333,90,top
U11,IS61LV256AL,TSOP-28_L11.8-W8.0-P0.55-LS13.4-L,125.233333,-114.583333,180,top
U12,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,125.335833,-106.193333,180,top
U13,IS61LV256AL,TSOP-28_L11.8-W8.0-P0.55-LS13.4-L,158.098333,-105.193333,0,top
U14,74AHCT595,TSSOP-16_4.4x5mm_P0.65mm,171.0625,-106.1035,180,top
U15,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,134.373333,-105.855833,90,top
U16,74HCT245,TSSOP-20_4.4x6.5mm_P0.65mm,180.25,-105.1535,90,top
U17,TS3USB30ERSWR,UQFN-10_1.4x1.8mm_P0.4mm,119.5,-142.8,90,top
U18,TS3USB30ERSWR,UQFN-10_1.4x1.8mm_P0.4mm,119.5,-147.0625,-90,top
U19,LD1117AG-33-AA3-A-R,SOT-223-3_TabPin2,103.718971,-129.372956,180,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,141.783333,-117.3,180,top
